asin,date_at,buybox_price
B001B0V5GG,2018-11-18 08:00:00,11.3700
B001B0V5GG,2018-11-18 13:58:00,11.3100
B001B0V5GG,2018-11-18 17:40:00,11.2900
B001B0V5GG,2018-11-18 20:18:00,11.2700
B001B0V5GG,2018-11-19 07:08:00,11.2600
B001B0V5GG,2018-11-19 09:24:00,11.3300
B001B0V5GG,2018-11-19 11:40:00,11.3100
B001B0V5GG,2018-11-19 20:20:00,11.2900
B001B0V5GG,2018-11-20 05:00:00,11.1900
B001B0V5GG,2018-11-20 14:32:00,11.1800
B001B0V5GG,2018-11-20 16:20:00,11.1900
B001B0V5GG,2018-11-21 09:08:00,11.1800
B001B0V5GG,2018-11-21 18:48:00,10.9900
B001B0V5GG,2018-11-22 15:12:00,11.1900
B001B0V5GG,2018-11-22 18:24:00,11.0200
B001B0V5GG,2018-11-22 20:04:00,11.1200
B001B0V5GG,2018-11-22 20:56:00,11.1900
B001B0V5GG,2018-11-23 07:44:00,11.8200
B001B0V5GG,2018-11-23 09:24:00,11.7900
B001B0V5GG,2018-11-23 11:28:00,11.7600
B001B0V5GG,2018-11-23 12:36:00,11.7400
B001B0V5GG,2018-11-23 13:44:00,11.7100
B001B0V5GG,2018-11-23 15:52:00,11.6600
B001B0V5GG,2018-11-23 16:40:00,11.6300
B001B0V5GG,2018-11-23 18:48:00,11.6000
B001B0V5GG,2018-11-23 22:52:00,11.1900
B001B0V5GG,2018-11-24 08:00:00,11.8200
B001B0V5GG,2018-11-24 10:06:00,11.7900
B001B0V5GG,2018-11-24 10:50:00,11.7700
B001B0V5GG,2018-11-24 13:20:00,11.7400
B001B0V5GG,2018-11-24 15:44:00,11.6900
B001B0V5GG,2018-11-24 17:42:00,11.6500
B001B0V5GG,2018-11-24 19:20:00,10.9900
B001B0V5GG,2018-11-25 15:20:00,11.1600
B001B0V5GG,2018-11-25 20:24:00,11.1900
B001B0V5GG,2018-11-27 16:48:00,10.9900
B001B0V5GG,2018-11-28 18:34:00,11.1900
B001B0V5GG,2018-11-28 21:08:00,11.0000
B001B0V5GG,2018-11-29 07:32:00,11.1900
